country,form,alpha,log10_alpha,fold,train_start,train_end,val_start,val_end,n_train,n_val,train_mse,val_mse
UK,primary,0.0031622776601683794,-2.5,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.019623697947879357,0.15932702131070753
UK,primary,0.01,-2.0,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.019644252807854527,0.15791196486648634
UK,primary,0.03162277660168379,-1.5,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.019703970017653647,0.15492586479094403
UK,primary,0.1,-1.0,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.019861075335398354,0.14818681561079683
UK,primary,0.31622776601683794,-0.5,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.020152509723183477,0.1307907923727487
UK,primary,1.0,0.0,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.02059746119059249,0.09741597150729209
UK,primary,3.1622776601683795,0.5,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.02130775020585252,0.060588172950726014
UK,primary,10.0,1.0,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.022482328345455913,0.035155126513384316
UK,primary,31.622776601683793,1.5,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.025149053994899282,0.023094513173544984
UK,primary,100.0,2.0,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.032082022217515646,0.023273396541369472
UK,primary,316.22776601683796,2.5,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.04622947465806682,0.03620522450894792
UK,primary,1000.0,3.0,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.06335318415345585,0.05374242546876035
UK,primary,0.001,-3.0,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.020770250499123535,0.023228664950864043
UK,primary,0.0031622776601683794,-2.5,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.020771516466487908,0.02313776176004165
UK,primary,0.01,-2.0,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.02077755795101952,0.02293308947215967
UK,primary,0.03162277660168379,-1.5,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.02080009677501636,0.02254311531899764
UK,primary,0.1,-1.0,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.020887259084339395,0.02198387586815777
UK,primary,0.31622776601683794,-0.5,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.021097531183816055,0.02157268847492855
