country,origin_date,horizon,target_date,variable,forecast,actual,error
GERMANY,2022-01-01,12,2023-01-01,GDP,-2.010840471505262,6.91462,-8.925460471505263
GERMANY,2022-01-01,12,2023-01-01,UNEMPLOYMENT,0.23120880954626258,-0.10000000000000009,0.33120880954626264
GERMANY,2022-01-01,12,2023-01-01,CPI,1.1013478270562103,1.1598000000000042,-0.0584521729437939
GERMANY,2022-01-01,12,2023-01-01,POLICY_RATE,-0.19694295755634114,0.3973469999999999,-0.5942899575563411
GERMANY,2022-01-01,12,2023-01-01,M2,0.6800238961291633,-0.7149939999999995,1.3950178961291626
GERMANY,2022-02-01,1,2022-03-01,GDP,9.580437278674685,8.979352,0.6010852786746845
GERMANY,2022-02-01,1,2022-03-01,UNEMPLOYMENT,-0.2063770386968688,0.0,-0.2063770386968688
GERMANY,2022-02-01,1,2022-03-01,CPI,0.7415501612063006,2.214000000000013,-1.4724498387937124
GERMANY,2022-02-01,1,2022-03-01,POLICY_RATE,0.08895400986831331,-0.0013699999999999823,0.09032400986831329
GERMANY,2022-02-01,1,2022-03-01,M2,1.111557594345018,-0.045395000000000074,1.156952594345018
GERMANY,2022-02-01,3,2022-05-01,GDP,14.184235744553469,8.421143,5.763092744553468
GERMANY,2022-02-01,3,2022-05-01,UNEMPLOYMENT,-0.3586355293411985,0.0,-0.3586355293411985
GERMANY,2022-02-01,3,2022-05-01,CPI,0.2921393010055063,1.0542999999999978,-0.7621606989944916
GERMANY,2022-02-01,3,2022-05-01,POLICY_RATE,0.22096592418822503,-0.0010339999999999794,0.221999924188225
GERMANY,2022-02-01,3,2022-05-01,M2,0.8315193719848802,-0.10614599999999985,0.9376653719848801
GERMANY,2022-02-01,6,2022-08-01,GDP,20.157766262060534,7.766949,12.390817262060533
GERMANY,2022-02-01,6,2022-08-01,UNEMPLOYMENT,-0.6715817029531206,0.0,-0.6715817029531206
GERMANY,2022-02-01,6,2022-08-01,CPI,0.12107029542036235,0.4217000000000013,-0.30062970457963895
GERMANY,2022-02-01,6,2022-08-01,POLICY_RATE,0.31240644686906227,0.476412,-0.16400555313093773
GERMANY,2022-02-01,6,2022-08-01,M2,0.345527166126121,-0.10429200000000005,0.44981916612612105
GERMANY,2022-02-01,12,2023-02-01,GDP,26.791822956194725,6.662627,20.129195956194724
GERMANY,2022-02-01,12,2023-02-01,UNEMPLOYMENT,-0.8155254765427976,0.0,-0.8155254765427976
GERMANY,2022-02-01,12,2023-02-01,CPI,0.8494400984155677,0.9488000000000056,-0.09935990158443797
GERMANY,2022-02-01,12,2023-02-01,POLICY_RATE,0.5300152707130579,0.2993300000000003,0.23068527071305756
GERMANY,2022-02-01,12,2023-02-01,M2,1.2075938509117945,-0.5883520000000004,1.795945850911795
GERMANY,2022-03-01,1,2022-04-01,GDP,8.702185694114377,8.806494,-0.10430830588562401
GERMANY,2022-03-01,1,2022-04-01,UNEMPLOYMENT,0.2585286070413954,-0.10000000000000009,0.3585286070413955
GERMANY,2022-03-01,1,2022-04-01,CPI,3.6297633285403466,0.7379999999999995,2.891763328540347
GERMANY,2022-03-01,1,2022-04-01,POLICY_RATE,-0.06251336477286146,-0.006004000000000009,-0.05650936477286145
GERMANY,2022-03-01,1,2022-04-01,M2,-1.4322609201901537,0.1756890000000002,-1.607949920190154
GERMANY,2022-03-01,3,2022-06-01,GDP,2.1071374373798455,8.041675,-5.934537562620154
GERMANY,2022-03-01,3,2022-06-01,UNEMPLOYMENT,1.4300428454111558,0.0,1.4300428454111558
GERMANY,2022-03-01,3,2022-06-01,CPI,8.311797174040297,0.0,8.311797174040297
GERMANY,2022-03-01,3,2022-06-01,POLICY_RATE,-0.3855569852731123,0.0021169999999999245,-0.3876739852731122
GERMANY,2022-03-01,3,2022-06-01,M2,-9.48701365603083,-0.26331300000000013,-9.22370065603083
GERMANY,2022-03-01,6,2022-09-01,GDP,-44.69879494023156,7.864924,-52.56371894023156
GERMANY,2022-03-01,6,2022-09-01,UNEMPLOYMENT,3.728438762943092,0.10000000000000009,3.628438762943092
GERMANY,2022-03-01,6,2022-09-01,CPI,7.5545206496894854,2.10860000000001,5.445920649689476
GERMANY,2022-03-01,6,2022-09-01,POLICY_RATE,-1.351121848115846,0.349236,-1.700357848115846
GERMANY,2022-03-01,6,2022-09-01,M2,-12.09655508306149,0.1499630000000005,-12.246518083061492
GERMANY,2022-03-01,12,2023-03-01,GDP,-208.59645666487867,6.413625,-215.01008166487867
GERMANY,2022-03-01,12,2023-03-01,UNEMPLOYMENT,11.283146761522003,0.0,11.283146761522003
GERMANY,2022-03-01,12,2023-03-01,CPI,13.215183188873354,0.9488999999999947,12.26628318887336
GERMANY,2022-03-01,12,2023-03-01,POLICY_RATE,-5.512674867866356,0.3077219999999996,-5.820396867866355
GERMANY,2022-03-01,12,2023-03-01,M2,-30.078292756780773,-0.5486219999999999,-29.529670756780774
GERMANY,2022-04-01,1,2022-05-01,GDP,8.07988487248532,8.421143,-0.3412581275146813
GERMANY,2022-04-01,1,2022-05-01,UNEMPLOYMENT,-0.05009462973973104,0.0,-0.05009462973973104
GERMANY,2022-04-01,1,2022-05-01,CPI,0.7523787132103809,1.0542999999999978,-0.30192128678961694
GERMANY,2022-04-01,1,2022-05-01,POLICY_RATE,-0.0813558377741767,-0.0010339999999999794,-0.08032183777417672
GERMANY,2022-04-01,1,2022-05-01,M2,-0.8868873859883434,-0.10614599999999985,-0.7807413859883435
GERMANY,2022-04-01,3,2022-07-01,GDP,-0.5318307623488229,7.667958,-8.199788762348822
GERMANY,2022-04-01,3,2022-07-01,UNEMPLOYMENT,0.07695649970917554,0.0,0.07695649970917554
GERMANY,2022-04-01,3,2022-07-01,CPI,0.6305465155240864,0.5270999999999901,0.10344651552409623
GERMANY,2022-04-01,3,2022-07-01,POLICY_RATE,-0.6572890763275089,0.011560000000000015,-0.6688490763275089
GERMANY,2022-04-01,3,2022-07-01,M2,-3.7746900616437786,-0.22005600000000047,-3.554634061643778
GERMANY,2022-04-01,6,2022-10-01,GDP,-17.505813974632936,7.961898,-25.467711974632934
GERMANY,2022-04-01,6,2022-10-01,UNEMPLOYMENT,0.6403986761656917,-0.10000000000000009,0.7403986761656918
GERMANY,2022-04-01,6,2022-10-01,CPI,0.4657492312656686,0.8433999999999884,-0.3776507687343198
GERMANY,2022-04-01,6,2022-10-01,POLICY_RATE,-0.9674667992857758,0.40079500000000007,-1.368261799285776
GERMANY,2022-04-01,6,2022-10-01,M2,-4.1163519717313815,-0.6583459999999999,-3.4580059717313816
GERMANY,2022-04-01,12,2023-04-01,GDP,-69.67692297516307,6.167559,-75.84448197516306
GERMANY,2022-04-01,12,2023-04-01,UNEMPLOYMENT,2.2502231638982213,0.0,2.2502231638982213
GERMANY,2022-04-01,12,2023-04-01,CPI,0.42701501941411857,0.5271000000000043,-0.10008498058588577
GERMANY,2022-04-01,12,2023-04-01,POLICY_RATE,-2.520238752040809,0.390717,-2.910955752040809
GERMANY,2022-04-01,12,2023-04-01,M2,-10.584132513215893,-0.7157889999999998,-9.868343513215894
GERMANY,2022-05-01,1,2022-06-01,GDP,6.381472854868004,8.041675,-1.6602021451319953
GERMANY,2022-05-01,1,2022-06-01,UNEMPLOYMENT,0.053852004824661626,0.0,0.053852004824661626
GERMANY,2022-05-01,1,2022-06-01,CPI,0.5732335314752218,0.0,0.5732335314752218
